"years","BoroughID","finished_rate"
2014,1,0.999421159260136
2015,2,0.999354505551252
2016,3,0.99961337715059
2017,4,0.999660239531131
2018,5,0.99878640776699
2019,1,0.999650235508091
2020,2,0.999670980478175
2021,3,0.999818255774706
2022,4,0.999957594775676
2014,5,1
2015,1,0.999797317839408
2016,2,0.999875847341892
2017,3,0.999796399870654
2018,4,0.999909079888471
2019,5,1
2020,1,0.999479487706321
2021,2,0.99973560211896
2022,3,0.999829793333274
2014,4,0.999888755395363
2015,5,0.999787910922587
2016,1,0.999662378064221
2017,2,0.999795607259349
2018,3,0.999846020438761
2019,4,0.999895272605408
2020,5,0.999073387694589
2021,1,0.999753694581281
2022,2,0.999749345513285
2014,3,0.999733617474694
2015,4,0.999585062240664
2016,5,1
2017,1,0.9995756718529
2018,2,0.999471551875991
2019,3,1
2020,4,0.999578237030789
2021,5,1
2022,1,0.961847919277188
2014,2,0.961088965392281
2015,3,0.961778803925013
2016,4,0.970151072124756
2017,5,0.961000423908436
2018,1,0.894012983890358
2019,2,0.933502392038614
2020,3,0.896428748328298
2021,4,0.911174546865473
2022,5,0.878059635068981
