"Studio_Units","One_Bedroom_Units","Two_Bedroom_Units","Three_Bedroom_Units","Four_Bedroom_Units","Five_Bedroom_Units","Six_Bedroom_Units","Total_Units","Start Year","Latitude","Longitude"
6,24,31,7,1,0,0,69,2022,40.738453,-73.859834
12,12,37,6,0,0,0,67,2022,40.737232,-73.855744
7,24,32,6,0,0,0,69,2022,40.739025,-73.860399
32,99,1,0,0,0,0,132,2022,40.782781,-73.949577
23,40,25,3,0,0,0,399,2022,40.712805,-73.967651
70,63,1,0,0,0,0,134,2022,40.844581,-73.893053
0,8,49,22,0,0,0,79,2022,40.848969,-73.914813
1,28,43,5,0,0,0,77,2022,40.849218,-73.914646
0,5,4,0,0,0,0,27,2022,40.634202,-73.944598
128,10,4,4,0,0,0,146,2022,40.838712,-73.941468
9,9,19,0,0,0,0,381,2022,40.735452,-73.959716
0,2,1,0,0,0,0,7,2022,40.768899,-73.914222
0,0,3,0,0,0,0,8,2022,40.76291,-73.872417
0,0,9,0,0,0,0,128,2022,40.776382,-73.954276
2,3,5,0,0,0,0,31,2022,40.830338,-73.904712
0,8,0,1,0,0,0,10,2022,40.625934,-74.076127
0,4,10,7,3,0,0,24,2022,40.6472,-74.013777
0,5,11,5,3,0,0,24,2022,40.647079,-74.013575
68,88,17,0,0,0,0,174,2022,40.778624,-73.979527
0,1,2,0,0,0,0,10,2022,40.640426,-73.947494
8,10,9,3,0,0,0,98,2022,40.875159,-73.87355
6,22,5,0,0,0,0,143,2022,40.682925,-73.978634
0,6,0,0,0,0,0,20,2022,40.766727,-73.917091
0,1,15,0,0,0,0,53,2022,40.641718,-74.020744
0,3,0,0,0,0,0,7,2022,40.757691,-73.864432
1,2,0,0,0,0,0,8,2022,40.870087,-73.861429
1,0,8,0,0,0,0,52,2022,40.638416,-73.953228
0,8,0,0,0,0,0,28,2022,40.77027,-73.927517
0,0,24,21,0,0,0,46,2022,40.702358,-73.946049
0,16,0,0,0,0,0,50,2022,40.752729,-73.934062
0,3,0,0,0,0,0,10,2022,40.691882,-73.94706
0,0,3,5,0,0,0,8,2022,40.810191,-73.921415
0,8,0,1,0,0,0,9,2022,40.810127,-73.916947
0,11,28,2,0,0,0,41,2022,40.813117,-73.900697
0,8,10,0,0,0,0,18,2022,40.810559,-73.921823
0,0,13,1,0,0,0,41,2022,40.607,-73.97264
71,22,0,0,0,0,0,93,2022,40.698685,-73.944029
64,60,11,0,0,0,0,532,2022,40.755303,-73.998636
2,11,1,0,0,0,0,45,2022,40.842175,-73.852195
0,3,5,0,0,0,0,11,2022,40.668887,-73.893104
0,1,1,0,0,0,0,6,2022,40.696204,-73.926003
0,3,0,0,0,0,0,8,2022,40.813975,-73.920721
2,2,2,0,0,0,0,24,2022,40.799466,-73.943587
0,8,0,0,0,0,0,24,2022,40.653529,-73.946961
2,2,4,0,0,0,0,591,2022,40.689027,-73.981217
0,4,3,0,0,0,0,22,2022,40.63477,-73.944933
0,1,2,0,0,0,0,8,2022,40.654815,-73.939031
2,12,4,0,0,0,0,60,2022,40.77587,-73.933793
0,9,0,0,0,0,0,28,2022,40.682028,-73.979936
0,1,2,0,0,0,0,10,2022,40.643885,-73.993658
0,5,0,0,0,0,0,14,2022,40.717139,-73.947101
80,24,12,0,0,0,0,116,2022,40.87181,-73.89161
73,42,8,0,0,0,0,123,2022,40.675765,-73.8812
