"year","BoroughID","mean_days"
2014,1,23.4065815453468
2014,2,14.76778563124
2014,3,23.5353281412071
2014,4,28.0460956750786
2014,5,11.4025921425678
2015,1,16.6131884024166
2015,2,8.8598555494606
2015,3,12.6216176445129
2015,4,12.1840676816081
2015,5,9.62917103882476
2016,1,15.4554177788289
2016,2,11.4938164299195
2016,3,12.6037494010541
2016,4,13.0227927136059
2016,5,19.5303768264548
2017,1,11.0584236709746
2017,2,11.387322546825
2017,3,10.3757817399875
2017,4,12.8484234885739
2017,5,19.4266016122189
2018,1,11.0308425306073
2018,2,11.5816758520235
2018,3,9.4817060320651
2018,4,11.5991453349533
2018,5,17.9645705805973
2019,1,12.5561304097889
2019,2,10.1482017995933
2019,3,7.30840512774965
2019,4,9.45067109450671
2019,5,11.955223880597
2020,1,18.4249327861893
2020,2,18.0374515333098
2020,3,16.7933884297521
2020,4,29.6803797468354
2020,5,55.2508771929825
2021,1,42.2289074016936
2021,2,17.729909977848
2021,3,13.8870942490345
2021,4,14.6913851563481
2021,5,27.9880899867667
2022,1,18.576927904183
2022,2,11.6799182760352
2022,3,12.02001602387
2022,4,10.5612434224534
2022,5,14.3803852002027
